unmapped_percent,sample,status
1.5999999999999999,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_1,0
0.8400000000000001,WT_YPD_none_Glucose_2_1440_none_10,0
2.06,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
1.1600000000000001,YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
1.3900000000000001,YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
1.32,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_6,0
1,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
1.07,WT_YPD_none_Glucose_2_1440_none_24,0
0.6399999999999999,WT_Minimal_HisMetLeuUra_Galactose_2_60_none_4,0
1.49,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
1.3499999999999999,YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
1.53,YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_2,0
0.85,WT_Minimal_HisMetLeuUra_Galactose_2_60_none_1,0
1.21,YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
0.62,WT_Minimal_HisMetLeuUra_Galactose_2_45_none_4,0
1.1,WT_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
0.82,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
2.08,YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
0.52,WT_YPD_none_none_2_1440_none_6,0
0.66,WT_YPD_none_Glucose_2_1440_none_28,0
